Titulo;Isbn;Autor;Assunto;Valor;
50 Tons da Vida;97-885-7480-817-8;Roberto Livianu;Literatura brasileira, Crônicas;R$ 58,00;
A Elite nos Bastidores do Modernismo Paulista;978-65-5580-071-5;Maria Eugenia Boaventura, Couto de Barros;Memória, Ilustrado, Literatura brasileira, História;R$ 200,00;
A Lírica do Consumo;978-65-5580-098-2;João Anzanello Carrascoza;Comunicação, Literatura, História, Jornalismo;R$ 62,00;
A Lua do Oriente e Outras Luas;978-65-5580-076-0;Christina Stephano de Queiroz;Ilustrado, Literatura brasileira, Crítica literária, Poesia, História, Biografia;R$ 86,00;
A Um - Poemas;85-85851-40-6;Robert Creeley;Poesia, Literatura estrangeira, Bilíngue, Ilustrado, Tradução;R$ 62,00;
A Vida Notável e Instrutiva do Mestre Tinius;978-65-5580-060-9;Johann Georg Tinius;Tradução, Literatura medieval, História, Livros sobre livros, Bibliofilia;R$ 83,00;
A Voz e o Tempo - 3a ed.;978-65-5580-016-6;Roberto Gambini;Ilustrado, Psicanálise e Psicologia;R$ 80,00;
A.S.A. - Associação dos Solitários Anônimos;85-7480-132-1;Rosario Fusco;Literatura brasileira, Romance;R$ 76,00;
Acústica Musical em Palavras e Sons, A;978-85-7480-649-5;Flo Menezes;Ilustrado, Música;R$ 110,00;
Adeus Penderama e Outros Escritos;978-85-7480-377-7;José Paulo Cavalcanti Filho;Memória, Literatura brasileira;R$ 42,00;
Adoniran Barbosa - O Poeta da Cidade;85-7480-114-3;Francisco Rocha;Música, Memória, Ilustrado;R$ 53,00;
Adorável Criatura Frankenstein;85-7480-215-8;Ademir Assunção;Literatura brasileira, Romance;R$ 62,00;
Afeto Autoritário, O - Televisão, Ética e Democracia;85-7480-230-1;Renato Janine Ribeiro;Televisão, Comunicação, Sociologia e Sociedade, Cultura;R$ 67,00;
Afinador de Passarinhos, O;978-85-7480-550-4;Gil Perini;Literatura brasileira, Contos;R$ 58,00;
Aldo Manuzio. Editor. Tipógrafo. Livreiro (2a ed.);978-65-5580-003-6;Enric Satué;Ilustrado, Design, Tipografia, Artes gráficas, Tradução, História, Editoração, Livros sobre livros;R$ 86,00;
Alguma Crítica;85-7480-068-6;João Alexandre Barbosa;Crítica literária, Literatura;R$ 75,00;
Almanaque Tipográfico Brasileiro;978-85-7480-418-7;Carlos M. Horcades;Design, Tipografia, Almanaque, Artes gráficas, Ilustrado;R$ 67,00;
Alongamento;85-7480-264-6;Sérgio Medeiros;Literatura brasileira, Poesia;R$ 82,00;
Altar & o Trono, O - Dinâmica do Poder em O Alienista;978-85-7480-511-5;Ivan Teixeira;Literatura brasileira, Crítica literária;R$ 130,00;
Amaro Macedo - O Solitário do Cerrado;978-85-7480-430-9;Gil Felippe, Maria do Carmo Duarte Macedo;Memória, Biografia, Botânica, Ilustrado;R$ 56,00;
Amor, Luta e Luto - No Tempo da Ditadura;978-65-5580-037-1;Maria do Socorro Diógenes;Ilustrado, História, Política;R$ 67,00;
